season_start_year,away_team,points_away,home_team,points_home,attendance,notes,start_ET,datetime,is_regular,game_id
1996,Sacramento Kings,85,Houston Rockets,96,16285.0,,,1996-11-01,1,1
1996,Los Angeles Clippers,97,Golden State Warriors,85,15593.0,,,1996-11-01,1,2
1996,Portland Trail Blazers,114,Vancouver Grizzlies,85,19193.0,,,1996-11-01,1,3
1996,Seattle SuperSonics,91,Utah Jazz,99,19911.0,,,1996-11-01,1,4
1996,New York Knicks,107,Toronto Raptors,99,28457.0,,,1996-11-01,1,5
1996,Milwaukee Bucks,111,Philadelphia 76ers,103,20444.0,,,1996-11-01,1,6
1996,Washington Bullets,96,Orlando Magic,92,17248.0,,,1996-11-01,1,7
1996,Phoenix Suns,82,Los Angeles Lakers,96,17505.0,,,1996-11-01,1,8
1996,San Antonio Spurs,78,Minnesota Timberwolves,82,18109.0,,,1996-11-01,1,9
1996,Atlanta Hawks,81,Miami Heat,94,15113.0,,,1996-11-01,1,10
1996,Chicago Bulls,107,Boston Celtics,98,18624.0,,,1996-11-01,1,11
1996,Cleveland Cavaliers,90,New Jersey Nets,77,18316.0,,,1996-11-01,1,12
1996,Indiana Pacers,89,Detroit Pistons,95,21454.0,,,1996-11-01,1,13
1996,Dallas Mavericks,92,Denver Nuggets,91,16104.0,,,1996-11-01,1,14
1996,Detroit Pistons,90,Atlanta Hawks,78,16378.0,,,1996-11-02,1,15
1996,Toronto Raptors,98,Charlotte Hornets,109,24042.0,,,1996-11-02,1,16
1996,Philadelphia 76ers,86,Chicago Bulls,115,24040.0,,,1996-11-02,1,17
1996,Sacramento Kings,107,Dallas Mavericks,94,18042.0,,,1996-11-02,1,18
1996,Utah Jazz,95,Los Angeles Clippers,90,13041.0,,,1996-11-02,1,19
1996,Boston Celtics,102,Milwaukee Bucks,124,17275.0,,,1996-11-02,1,20
1996,Houston Rockets,110,Phoenix Suns,95,19023.0,,,1996-11-02,1,21
1996,Portland Trail Blazers,93,Seattle SuperSonics,104,17072.0,,,1996-11-02,1,22
1996,Cleveland Cavaliers,98,Washington Bullets,96,18756.0,,,1996-11-02,1,23
1996,Miami Heat,97,Indiana Pacers,95,15948.0,,,1996-11-02,1,24
1996,Golden State Warriors,105,Vancouver Grizzlies,95,15781.0,,,1996-11-03,1,25
1996,Denver Nuggets,88,San Antonio Spurs,79,20791.0,,,1996-11-03,1,26
1996,Minnesota Timberwolves,85,Los Angeles Lakers,91,15407.0,,,1996-11-03,1,27
1996,Charlotte Hornets,86,New York Knicks,113,19763.0,,,1996-11-03,1,28
1996,Atlanta Hawks,94,Portland Trail Blazers,76,21567.0,,,1996-11-04,1,29
1996,Houston Rockets,75,Utah Jazz,72,19911.0,,,1996-11-04,1,30
1996,Vancouver Grizzlies,73,Chicago Bulls,96,23726.0,,,1996-11-05,1,31
1996,San Antonio Spurs,74,Cleveland Cavaliers,68,15587.0,,,1996-11-05,1,32
1996,Los Angeles Clippers,82,Denver Nuggets,78,10190.0,,,1996-11-05,1,33
1996,Portland Trail Blazers,111,Golden State Warriors,93,13458.0,,,1996-11-05,1,34
1996,Los Angeles Lakers,98,New York Knicks,92,19763.0,,,1996-11-05,1,35
1996,Detroit Pistons,83,Philadelphia 76ers,81,12713.0,,,1996-11-05,1,36
1996,Minnesota Timberwolves,98,Phoenix Suns,95,19023.0,,,1996-11-05,1,37
1996,Houston Rockets,102,Sacramento Kings,80,17317.0,,,1996-11-05,1,38
1996,Atlanta Hawks,117,Seattle SuperSonics,95,17072.0,,,1996-11-05,1,39
1996,Dallas Mavericks,96,Toronto Raptors,100,17065.0,,,1996-11-05,1,40
1996,San Antonio Spurs,86,Washington Bullets,96,17110.0,,,1996-11-06,1,41
1996,Vancouver Grizzlies,89,Milwaukee Bucks,105,13689.0,,,1996-11-06,1,42
1996,Chicago Bulls,106,Miami Heat,100,15200.0,,,1996-11-06,1,43
1996,Dallas Mavericks,84,Detroit Pistons,103,14473.0,,,1996-11-06,1,44
1996,Indiana Pacers,84,Boston Celtics,94,14467.0,,,1996-11-06,1,45
1996,Los Angeles Lakers,78,Charlotte Hornets,88,24042.0,,,1996-11-06,1,46
1996,Atlanta Hawks,91,Sacramento Kings,87,17317.0,,,1996-11-07,1,47
1996,Minnesota Timberwolves,94,Portland Trail Blazers,95,20439.0,,,1996-11-07,1,48
1996,Orlando Magic,108,New Jersey Nets,95,38639.0,"at Tokyo, Japan",,1996-11-07,1,49
1996,New York Knicks,105,Golden State Warriors,100,16639.0,,,1996-11-07,1,50
1996,Houston Rockets,110,Denver Nuggets,108,12137.0,,,1996-11-07,1,51
1996,Seattle SuperSonics,103,Phoenix Suns,98,19023.0,,,1996-11-07,1,52
1996,Philadelphia 76ers,115,Boston Celtics,105,14733.0,,,1996-11-08,1,53
1996,Vancouver Grizzlies,72,Cleveland Cavaliers,88,13691.0,,,1996-11-08,1,54
1996,Chicago Bulls,98,Detroit Pistons,80,21454.0,,,1996-11-08,1,55
1996,New York Knicks,88,Los Angeles Clippers,81,13242.0,,,1996-11-08,1,56
1996,Milwaukee Bucks,89,Miami Heat,101,15200.0,,,1996-11-08,1,57
1996,New Jersey Nets,82,Orlando Magic,86,38639.0,"at Tokyo, Japan",,1996-11-08,1,58
1996,Seattle SuperSonics,87,San Antonio Spurs,75,15027.0,,,1996-11-08,1,59
1996,Los Angeles Lakers,92,Toronto Raptors,93,27357.0,,,1996-11-08,1,60
1996,Charlotte Hornets,102,Washington Bullets,87,18756.0,,,1996-11-08,1,61
1996,Golden State Warriors,91,Denver Nuggets,94,10302.0,,,1996-11-08,1,62
1996,Phoenix Suns,95,Philadelphia 76ers,112,17006.0,,,1996-11-09,1,63
1996,Portland Trail Blazers,102,Sacramento Kings,103,17317.0,,,1996-11-09,1,64
1996,Utah Jazz,85,Houston Rockets,91,16285.0,,,1996-11-09,1,65
1996,Miami Heat,91,Dallas Mavericks,84,15021.0,,,1996-11-09,1,66
1996,Boston Celtics,92,Chicago Bulls,104,23813.0,,,1996-11-09,1,67
1996,Washington Bullets,100,Indiana Pacers,103,15591.0,,,1996-11-09,1,68
1996,Milwaukee Bucks,100,Charlotte Hornets,98,24042.0,,,1996-11-09,1,69
1996,Denver Nuggets,86,Cleveland Cavaliers,101,13921.0,,,1996-11-10,1,70
1996,Minnesota Timberwolves,70,Los Angeles Clippers,81,6314.0,,,1996-11-10,1,71
1996,Atlanta Hawks,85,Los Angeles Lakers,92,16097.0,,,1996-11-10,1,72
1996,San Antonio Spurs,81,Portland Trail Blazers,94,20112.0,,,1996-11-10,1,73
1996,New York Knicks,101,Vancouver Grizzlies,82,17356.0,,,1996-11-10,1,74
1996,Phoenix Suns,79,Chicago Bulls,97,23807.0,,,1996-11-11,1,75
1996,Seattle SuperSonics,110,Sacramento Kings,94,17317.0,,,1996-11-11,1,76
1996,Denver Nuggets,104,Toronto Raptors,93,17132.0,,,1996-11-11,1,77
1996,Golden State Warriors,102,Seattle SuperSonics,121,17072.0,,,1996-11-12,1,78
1996,Philadelphia 76ers,101,New York Knicks,97,19763.0,,,1996-11-12,1,79
1996,Portland Trail Blazers,97,Minnesota Timberwolves,100,14107.0,,,1996-11-12,1,80
1996,Cleveland Cavaliers,83,Atlanta Hawks,87,7385.0,,,1996-11-12,1,81
1996,Charlotte Hornets,97,Miami Heat,105,14393.0,,,1996-11-12,1,82
1996,Los Angeles Lakers,126,Houston Rockets,115,16285.0,,,1996-11-12,1,83
1996,Indiana Pacers,82,Dallas Mavericks,103,14153.0,,,1996-11-12,1,84
1996,Phoenix Suns,89,Milwaukee Bucks,99,13565.0,,,1996-11-12,1,85
1996,Detroit Pistons,92,Washington Bullets,79,15111.0,,,1996-11-12,1,86
1996,Los Angeles Clippers,99,Vancouver Grizzlies,92,14259.0,,,1996-11-12,1,87
1996,Atlanta Hawks,85,Boston Celtics,103,13184.0,,,1996-11-13,1,88
1996,Miami Heat,71,Chicago Bulls,103,23889.0,,,1996-11-13,1,89
1996,Portland Trail Blazers,70,Cleveland Cavaliers,81,13757.0,,,1996-11-13,1,90
1996,Denver Nuggets,94,Detroit Pistons,95,13717.0,,,1996-11-13,1,91
1996,Washington Bullets,106,New Jersey Nets,91,10884.0,,,1996-11-13,1,92
1996,Los Angeles Lakers,83,San Antonio Spurs,95,26002.0,,,1996-11-13,1,93
1996,Philadelphia 76ers,98,Toronto Raptors,110,17385.0,,,1996-11-13,1,94
1996,Sacramento Kings,74,Utah Jazz,105,19283.0,,,1996-11-13,1,95
1996,Charlotte Hornets,89,Orlando Magic,96,17248.0,,,1996-11-14,1,96
1996,Phoenix Suns,89,Vancouver Grizzlies,92,15158.0,,,1996-11-14,1,97
1996,Toronto Raptors,96,New York Knicks,99,19763.0,,,1996-11-14,1,98
1996,Dallas Mavericks,90,Minnesota Timberwolves,100,14079.0,,,1996-11-14,1,99
1996,Milwaukee Bucks,86,Golden State Warriors,95,14414.0,,,1996-11-14,1,100
1996,Indiana Pacers,88,Houston Rockets,90,16285.0,,,1996-11-14,1,101
1996,Seattle SuperSonics,94,Los Angeles Clippers,78,6238.0,,,1996-11-14,1,102
1996,Vancouver Grizzlies,96,Utah Jazz,104,19046.0,,,1996-11-15,1,103
1996,Cleveland Cavaliers,105,Philadelphia 76ers,89,12901.0,,,1996-11-15,1,104
1996,Indiana Pacers,93,San Antonio Spurs,78,14395.0,,,1996-11-15,1,105
1996,Milwaukee Bucks,99,Sacramento Kings,103,17317.0,,,1996-11-15,1,106
1996,Portland Trail Blazers,93,New Jersey Nets,85,12016.0,,,1996-11-15,1,107
1996,Los Angeles Clippers,100,Los Angeles Lakers,107,16207.0,,,1996-11-15,1,108
1996,Chicago Bulls,110,Charlotte Hornets,87,24042.0,,,1996-11-15,1,109
1996,Denver Nuggets,82,Boston Celtics,80,14133.0,,,1996-11-15,1,110
1996,Miami Heat,77,Atlanta Hawks,85,16378.0,,,1996-11-15,1,111
1996,Washington Bullets,84,Detroit Pistons,95,21454.0,,,1996-11-15,1,112
1996,Toronto Raptors,87,Orlando Magic,92,17248.0,,,1996-11-16,1,113
1996,Boston Celtics,92,Washington Bullets,106,18756.0,,,1996-11-16,1,114
1996,Sacramento Kings,96,Seattle SuperSonics,108,17072.0,,,1996-11-16,1,115
1996,Minnesota Timberwolves,79,New York Knicks,82,19763.0,,,1996-11-16,1,116
1996,Denver Nuggets,99,New Jersey Nets,106,13309.0,,,1996-11-16,1,117
1996,Golden State Warriors,103,Houston Rockets,115,16285.0,,,1996-11-16,1,118
1996,Utah Jazz,88,Dallas Mavericks,87,15947.0,,,1996-11-16,1,119
1996,Detroit Pistons,102,Cleveland Cavaliers,98,17808.0,,,1996-11-16,1,120
1996,Atlanta Hawks,69,Chicago Bulls,97,23939.0,,,1996-11-16,1,121
1996,Philadelphia 76ers,91,Miami Heat,89,15200.0,,,1996-11-16,1,122
